traj_id,文件名,bean_code,drop_code,①号位豆子,②号位豆子,③号位豆子,数字1在几号位,数字2在几号位,数字3在几号位,数字4在几号位,数字5在几号位
0,P0000.BIN,0,0,黄豆,绿豆,白芸豆,④号位,⑤号位,⑥号位,⑦号位,⑧号位
1,P0001.BIN,0,1,黄豆,绿豆,白芸豆,④号位,⑤号位,⑦号位,⑥号位,⑧号位
2,P0002.BIN,0,2,黄豆,绿豆,白芸豆,④号位,⑤号位,⑧号位,⑥号位,⑦号位
3,P0003.BIN,0,3,黄豆,绿豆,白芸豆,④号位,⑥号位,⑤号位,⑦号位,⑧号位
4,P0004.BIN,0,4,黄豆,绿豆,白芸豆,④号位,⑥号位,⑦号位,⑤号位,⑧号位
5,P0005.BIN,0,5,黄豆,绿豆,白芸豆,④号位,⑥号位,⑧号位,⑤号位,⑦号位
6,P0006.BIN,0,6,黄豆,绿豆,白芸豆,④号位,⑦号位,⑤号位,⑥号位,⑧号位
7,P0007.BIN,0,7,黄豆,绿豆,白芸豆,④号位,⑦号位,⑥号位,⑤号位,⑧号位
8,P0008.BIN,0,8,黄豆,绿豆,白芸豆,④号位,⑦号位,⑧号位,⑤号位,⑥号位
9,P0009.BIN,0,9,黄豆,绿豆,白芸豆,④号位,⑧号位,⑤号位,⑥号位,⑦号位
10,P0010.BIN,0,10,黄豆,绿豆,白芸豆,④号位,⑧号位,⑥号位,⑤号位,⑦号位
11,P0011.BIN,0,11,黄豆,绿豆,白芸豆,④号位,⑧号位,⑦号位,⑤号位,⑥号位
12,P0012.BIN,0,12,黄豆,绿豆,白芸豆,⑤号位,④号位,⑥号位,⑦号位,⑧号位
13,P0013.BIN,0,13,黄豆,绿豆,白芸豆,⑤号位,④号位,⑦号位,⑥号位,⑧号位
14,P0014.BIN,0,14,黄豆,绿豆,白芸豆,⑤号位,④号位,⑧号位,⑥号位,⑦号位
15,P0015.BIN,0,15,黄豆,绿豆,白芸豆,⑤号位,⑥号位,④号位,⑦号位,⑧号位
16,P0016.BIN,0,16,黄豆,绿豆,白芸豆,⑤号位,⑥号位,⑦号位,④号位,⑧号位
17,P0017.BIN,0,17,黄豆,绿豆,白芸豆,⑤号位,⑥号位,⑧号位,④号位,⑦号位
18,P0018.BIN,0,18,黄豆,绿豆,白芸豆,⑤号位,⑦号位,④号位,⑥号位,⑧号位
19,P0019.BIN,0,19,黄豆,绿豆,白芸豆,⑤号位,⑦号位,⑥号位,④号位,⑧号位
20,P0020.BIN,0,20,黄豆,绿豆,白芸豆,⑤号位,⑦号位,⑧号位,④号位,⑥号位
21,P0021.BIN,0,21,黄豆,绿豆,白芸豆,⑤号位,⑧号位,④号位,⑥号位,⑦号位
22,P0022.BIN,0,22,黄豆,绿豆,白芸豆,⑤号位,⑧号位,⑥号位,④号位,⑦号位
23,P0023.BIN,0,23,黄豆,绿豆,白芸豆,⑤号位,⑧号位,⑦号位,④号位,⑥号位
24,P0024.BIN,0,24,黄豆,绿豆,白芸豆,⑥号位,④号位,⑤号位,⑦号位,⑧号位
25,P0025.BIN,0,25,黄豆,绿豆,白芸豆,⑥号位,④号位,⑦号位,⑤号位,⑧号位
26,P0026.BIN,0,26,黄豆,绿豆,白芸豆,⑥号位,④号位,⑧号位,⑤号位,⑦号位
27,P0027.BIN,0,27,黄豆,绿豆,白芸豆,⑥号位,⑤号位,④号位,⑦号位,⑧号位
28,P0028.BIN,0,28,黄豆,绿豆,白芸豆,⑥号位,⑤号位,⑦号位,④号位,⑧号位
29,P0029.BIN,0,29,黄豆,绿豆,白芸豆,⑥号位,⑤号位,⑧号位,④号位,⑦号位
30,P0030.BIN,0,30,黄豆,绿豆,白芸豆,⑥号位,⑦号位,④号位,⑤号位,⑧号位
